"url","title","developer","monetization_features","images","about","data_safety","rating","number_of_reviews","star_reviews","reviews","what_new","more_by_this_developer","content_rating","downloads","play_on_pc","minimum_requirements","country","app_category","id","version","app_icon","price","currency","developer_email"
"https://play.google.com/store/books/details/Perch%C3%A9_non_si_dica_che_amo_solo_i_cani_Io_e_l_epim?id=iVFxDwAAQBAJ&hl=en_US&gl=US","Perché non si dica che amo solo i cani (Io e l'epimeletica)",,[null],"[""https://books.google.com/books/publisher/content/images/frontcover/iVFxDwAAQBAJ?fife""]","{""about_app"":""In etologia (la scienza che studia il comportamento animale) l’atteggiamento improntato ad accudire, educare e proteggere viene definito epimeletico. È un impulso proprio di tutti gli esseri viventi, non è solo quel comportamento che ha garantito la sopravvivenza dei cuccioli e quindi della specie: una civiltà si distingue anche da come insegna a prendersi cura l’uno dell’altro, animali umani e non. Partendo da questo, l’autrice compie una sorta di viaggio della memoria sottolineando le tappe più importanti dove il suo atteggiamento epimeletico si è manifestato. O anche dove si è dato alla latitanza. Perché nessuno è perfetto. Non è un saggio, ma un testo a volte commovente, altre ironico. Un modo per ricordarsi che siamo animali sociali e che sarebbe fondamentale essere altruisti perché può sempre succedere di avere bisogno e se hai dato... qualcuno ti darà. Forse."",""tags"":[""Fiction & literature"",""General""]}",{},0,0,,[],,"[{""app_link"":""https://play.google.com/store/books/details/Lisabetta_Mugnai_%C3%88_al_peggio_che_non_c_%C3%A8_mai_fine?id=ukFyDwAAQBAJ"",""app_name"":""È al peggio che non c'è mai fine""},{""app_link"":""https://play.google.com/store/books/details/Lisabetta_Mugnai_Intanto_altrove?id=xurpEAAAQBAJ"",""app_name"":""Intanto, altrove ...""},{""app_link"":""https://play.google.com/store/books/details/Lisabetta_Mugnai_Nata_sotto_una_buona_stella_Cerca?id=y0BwDwAAQBAJ"",""app_name"":""Nata sotto una buona stella (Cercavo un fidanzato. Per un colpo di fortuna ho trovato un pastore tedesco)""}]",,,[],,,,,,,,,
"https://play.google.com/store/books/details/De_emendatione_Manitii?id=r21AAAAAcAAJ&hl=en_US&gl=US","De emendatione Manitii",,[null],"[""https://books.google.com/books/content/images/frontcover/r21AAAAAcAAJ?fife""]","{""tags"":[]}",{},0,0,,[],,"[{""app_link"":""https://play.google.com/store/books/details/Theodor_Breiter_De_emendatione_Manilii?id=Bj9WAAAAcAAJ"",""app_name"":""De emendatione Manilii""}]",,,[],,,,,,,,,
"https://play.google.com/store/books/details/Ma_and_Pa_Dracula?id=sNQ0AwAAQBAJ&hl=en_GB","Ma and Pa Dracula",,[null],"[""https://play.google.com/books/publisher/content/images/frontcover/sNQ0AwAAQBAJ?fife""]","{""about_app"":""<b>Jonathan thinks his parents are normal—but he’s about to see the light of day</b><br><br>Nine-year-old Jonathan is convinced that sleeping during the day and waking at night is what every kid does—especially if your parents work at a blood bank all night. But when he breaks his parents’ rules and sneaks outside during the daytime, he meets Tobi, a neighborhood girl who fills him in on the truth about telephones, TV, and school. Shocked at his discovery, Jonathan confronts his parents, who tell him the truth about their nocturnal life.<br><br>Determined to fit into the daytime world, he convinces his parents to let him go to school and make friends. But it isn’t easy being the new kid—especially when your parents are vampires whose supplies from the blood bank are getting low. Maybe inviting his friends over wasn’t such a good idea after all.  <br><br>This ebook features an illustrated personal history of Ann M. Martin, including rare images from the author’s collection.<br>"",""tags"":[""Children's Books""]}",{},4.4444447,9,"{""five_stars"":7,""four_stars"":1,""one_stars"":1,""three_stars"":0,""two_stars"":0}","[{""found_helpful"":0,""review"":""My favorite book, I had the original cover book and I read it like 10 times. Really interesting and Fun book."",""review_date"":""2016-01-27T06:11:43.000Z"",""review_rating"":5,""reviewer_name"":""Game P***s""}]",,"[{""app_link"":""https://play.google.com/store/books/details/Ann_M_Martin_Ten_Good_and_Bad_Things_About_My_Life?id=NQKlDJWG8lEC"",""app_name"":""Ten Good and Bad Things About My Life (So Far)"",""app_rating"":""3.8666666""},{""app_link"":""https://play.google.com/store/books/details/Ann_M_Martin_Here_Today?id=SRk0_c7L6iMC"",""app_name"":""Here Today"",""app_rating"":""5""},{""app_link"":""https://play.google.com/store/books/details/Ann_M_Martin_Karen_s_Mermaid_Baby_Sitters_Little_S?id=vRAmCwAAQBAJ"",""app_name"":""Baby-Sitters Little Sister: Karen's Mermaid (Baby-Sitters Little Sister #52)"",""app_rating"":""5""},{""app_link"":""https://play.google.com/store/books/details/Ann_M_Martin_Ten_Rules_for_Living_with_My_Sister?id=L4_1t6l12XkC"",""app_name"":""Ten Rules for Living with My Sister"",""app_rating"":""4.3846154""}]",,,,,"US",,,,,,,
"https://play.google.com/store/books/details/The_Phrenological_Journal_and_Science_of_Health_Vo?id=laPNAAAAMAAJ&hl=en_GB","The Phrenological Journal and Science of Health: Volumes 105-106",,[null],"[""https://play.google.com/books/content/images/frontcover/laPNAAAAMAAJ?fife""]","{""tags"":[]}",{},0,0,,[],,,,,,,"US",,,,,,,
"https://play.google.com/store/books/details/The_December_Ship_A_Story_of_Lt_Col_Arden_R_Boelln?id=yrvroE1qoY8C&hl=en_GB","The December Ship: A Story of Lt. Col. Arden R. Boellner's Capture in the Philippines, Imprisonment, and Death on a World War II Japanese Hellship",,[null],"[""https://play.google.com/books/content/images/frontcover/yrvroE1qoY8C?fife""]","{""about_app"":""On December 14, 1944, the <i>Oryoku Maru</i>, or &quot;December Ship,&quot; was attacked by planes of the U.S. Navy, who had no way of knowing 1,619 Allied POWs were on board. One of those prisoners was then-Lieutenant Arden R. Boellner. Through letters, documents, and interviews with survivors, this is an account of Lt. Colonel Boellner&#39;s World War II tour of duty, his capture at Mindanao, life in Japanese POW camps in the Philippines, and the horrors of the &quot;December Ship&quot; that led to his death. Numerous photographs, some published for the first time, show life inside the camps."",""tags"":[""Biographies & Memoirs"",""General""]}",{},3,2,"{""five_stars"":1,""four_stars"":0,""one_stars"":1,""three_stars"":0,""two_stars"":0}","[{""found_helpful"":0,""review"":""A hero who gave his life for his country."",""review_date"":""2019-12-17T01:59:23.000Z"",""review_rating"":5,""reviewer_name"":""larry g*****l""}]",,"[{""app_link"":""https://play.google.com/store/books/details/Ben_Macintyre_SAS?id=yvrNCwAAQBAJ"",""app_name"":""SAS: Rogue Heroes: The authorized wartime history from the Sunday Times bestselling author"",""app_rating"":""4.6911764""},{""app_link"":""https://play.google.com/store/books/details/Olga_Lengyel_Five_Chimneys_A_Woman_Survivor_s_True?id=NCxwCwAAQBAJ"",""app_name"":""Five Chimneys: A Woman Survivor’s True Story Of Auschwitz [Illustrated Edition]"",""app_rating"":""4.7773585""},{""app_link"":""https://play.google.com/store/books/details/Stephen_E_Ambrose_Band_Of_Brothers?id=8Q41xjSUeZsC"",""app_name"":""Band Of Brothers"",""app_rating"":""4.704918""},{""app_link"":""https://play.google.com/store/books/details/Dan_Mills_Sniper_One?id=LFPblbBXkrkC"",""app_name"":""Sniper One: ‘The Best I’ve Ever Read’ – Andy McNab"",""app_rating"":""4.7268043""}]",,,,,"US",,,,,,,
"https://play.google.com/store/books/details/Oeuvres_compl%C3%A8tes_Volume_1?id=7WI9AQAAMAAJ&hl=en_US","Oeuvres complètes: Volume 1",,[null],"[""https://play.google.com/books/content/images/frontcover/7WI9AQAAMAAJ?fife""]","{""tags"":[]}",{},0,0,,[],,"[{""app_link"":""https://play.google.com/store/books/details/Gabriel_Bonnot_de_Mably_%C5%92uvres_compl%C3%A8tes_de_l_abb%C3%A9?id=-1q1eqEhtb0C"",""app_name"":""Œuvres complètes de l'abbé de Mably...: Volume 1""},{""app_link"":""https://play.google.com/store/books/details/Gabriel_Bonnot_de_Mably_Oeuvres_compl%C3%A8tes?id=-6U9AAAAcAAJ"",""app_name"":""Oeuvres complètes: Volume 3""},{""app_link"":""https://play.google.com/store/books/details/Gabriel_Bonnot_de_Mably_Oeuvres_Posthumes?id=-79JAAAAcAAJ"",""app_name"":""Oeuvres Posthumes: Volume 1""},{""app_link"":""https://play.google.com/store/books/details/Gabriel_Bonnot_de_Mably_Le_droit_public_de_l_Europ?id=-HVUAAAAYAAJ"",""app_name"":""Le droit public de l'Europe: fondé sur les traités, Volume 1""}]",,,,,"US",,,,,,,
"https://play.google.com/store/books/details/Sil%C3%AAncio_A_voz_do_ser_interior?id=L5gtEAAAQBAJ&hl=en_GB","Silêncio: A voz do ser interior",,[null],"[""https://play.google.com/books/publisher/content/images/frontcover/L5gtEAAAQBAJ?fife""]","{""about_app"":""Este é um livro de meditações muito especial, com diversas dicas práticas e histórias bem-humoradas, no qual o mestre Osho explica os benefícios do silêncio nas interações humanas e na rotina diária. Na obra a vida é apresentada como um mistério que precisa ser vivenciado sem as distrações das conversas e dos ruídos que nos desconectam da verdade da vida. Osho mostra também que esse é o caminho para vivenciarmos o Amor. Cada reflexão e meditação deste livro representa um passo da jornada rumo à harmonia espiritual e à nossa divindade interior."",""tags"":[]}",{},5,1,"{""five_stars"":1,""four_stars"":0,""one_stars"":0,""three_stars"":0,""two_stars"":0}","[{""found_helpful"":0,""review"":""maravilhoso 👏👏"",""review_date"":""2025-01-10T04:31:20.000Z"",""review_rating"":5,""reviewer_name"":""Éri***Car***ho *********""}]",,"[{""app_link"":""https://play.google.com/store/books/details/OSHO_O_livro_completo_da_medita%C3%A7%C3%A3o?id=ImWkDwAAQBAJ"",""app_name"":""O livro completo da meditação: Equilibrando mente, corpo e espírito"",""app_rating"":""4.8""},{""app_link"":""https://play.google.com/store/books/details/Osho_Aprendendo_a_silenciar_a_mente?id=HFNACQAAQBAJ"",""app_name"":""Aprendendo a silenciar a mente"",""app_rating"":""4.642857""},{""app_link"":""https://play.google.com/store/books/details/Osho_Um_curso_de_medita%C3%A7%C3%A3o?id=Afv_DwAAQBAJ"",""app_name"":""Um curso de meditação: 21 dias para desenvolver sua consciência"",""app_rating"":""4.5""},{""app_link"":""https://play.google.com/store/books/details/Osho_Seu_corpo_sua_casa?id=PJFwEAAAQBAJ"",""app_name"":""Seu corpo, sua casa: Práticas e exercícios de meditação para ativar a consciência e abrir o coração"",""app_rating"":""4.75""}]",,,,,"US",,,,,,,
"https://play.google.com/store/books/details/Ein_Lobspruch_oder_gantz_hertzliche_Dancksagunge_z?id=GpMasnkKbTYC&hl=en_US&gl=US","Ein Lobspruch, oder gantz hertzliche Dancksagunge, zu der allerheyligsten Tryfeltigkeyt Gottes ... für die aller gnedigste und gantz heylsamste wolthatten, der frewdenreichen Erledigung hocherleuchts Christlichen Ritters ... Johannes Friderichenm Hertzog zu Sachsen ...",,[null],"[""https://books.google.com/books/content/images/frontcover/GpMasnkKbTYC?fife""]","{""tags"":[]}",{},0,0,,[],,"[{""app_link"":""https://play.google.com/store/books/details/Cyriacus_Schnauss_Fre%C3%BCdenspruch?id=6u9UAAAAcAAJ"",""app_name"":""Freüdenspruch: Der allerheiligsten Dreifeltigkeyt Gottis zu Lob, Ehr vnd danck für diese allerfreüdenreichste Hohenzeit vnd Christliche Heymfarth, Des Durchleuchten Hochgebornnen Fürsten vnd Herren, Herrn Johanns Friderichen des mittlern, Hertzogen zu Sachssen, Landtgrauen in Thürinngen vnnd Marggrauen zu Meissenn, sampt jrer F. G. Hochgeborner Ehelichuertrawten Gemahel vnnd Fürstin, Frawen Agnes Hertzogin zu Sachssen etc. Gebornne Landtgräuin zu Hessen, Gräuin zu Katzenelnbogen etc. In jhrer F. G. Stadt Weymar, am Sontag Exaudi des Fünffvndfünfftzigsten jars""},{""app_link"":""https://play.google.com/store/books/details/Cyriacus_Schnauss_Etwas_neus?id=7VJTAAAAcAAJ"",""app_name"":""Etwas neus: Ein sehr andechttige Predig, welche der heylig Weyhbischoff zu Bamberg in eygner person bey S. Mertin, mit seufftzen und threnen gethan hat am Palmen Sontag im 1555. jare, von dem seligen Einreiten vnsers lieben Herrn vnd Heylands Jhesu Christi, zu Jherusalem geschehen ...""},{""app_link"":""https://play.google.com/store/books/details/Cyriacus_Schnauss_Pasquillus_Newe_Zeytung_Vom_Te%C3%BCf?id=F2_g2BevQMgC"",""app_name"":""Pasquillus. Newe Zeytung Vom Teüffel: Wie newlich der Bapst vnd sein gesell Der oeberst Sathanus auß der hell Von jhrer gsellschafft vnd disem Krieg Sprach gehalten vnd wem sye den Syeg All beyd hertzlich gern günnen wolten ...""},{""app_link"":""https://play.google.com/store/books/details/Cyriacus_Schnauss_Pasquillus_Newe_Zeytung_vom_Te%C3%BCf?id=GGHWgA85vJgC"",""app_name"":""Pasquillus. Newe Zeytung vom Teüffel: Wie newlich der Bapst vnd sein Gesell, der oberst Sathanas auß der Hell, Von jrer gsellschaft vnd disem Kryg, Sprach gehalten ...""}]",,,[],,,,,,,,,
"https://play.google.com/store/audiobooks/details/The_Reminders?id=AQAAAAB7YBFgeM&hl=en_US","The Reminders",,[null],"[""https://play-lh.googleusercontent.com/49rxa5xgn7DWFWfti3V2aZqeSxHu487vv0eaulINfiWrr5EglwxiL-CIG46IRaTUBmykCZxN68fYpw""]","{""about_app"":""From the author of Dear Evan Hansen, The Reminders is perfect for fans of J. Courtney Sullivan's The Engagement or Graeme Simsion's The Rosie Project , and follows what happens when a girl who can't forget befriends a man who's desperate to remember."",""tags"":[""Fiction & literature""]}",{},3,1,"{""five_stars"":0,""four_stars"":0,""one_stars"":0,""three_stars"":1,""two_stars"":0}",[],,"[{""app_link"":""https://play.google.com/store/audiobooks/details/Val_Emmich_Maybe_We_re_Electric?id=AQAAAEA8WwsbJM"",""app_name"":""Maybe We're Electric""},{""app_link"":""https://play.google.com/store/audiobooks/details/Steven_Levenson_Dear_Evan_Hansen_The_Novel?id=AQAAAECMUxITjM"",""app_name"":""Dear Evan Hansen: The Novel"",""app_rating"":""4.4545455""}]",,,,,"US",,,,,,,
"https://play.google.com/store/audiobooks/details/Following_the_Rules?id=AQAAAEAC4yWjNM&hl=en_US","Following the Rules",,[null],"[""https://play-lh.googleusercontent.com/rqnXyXh3-1keBYWnuifODWRr7O1OnLuO2CEQ4WMrgES_VZxyVFIF2RR9f8aRRse2EN1PjuIBzy3J""]","{""about_app"":""<p>Are you a good teammate? Do you try your best? Do you follow rules and play fair?</p> <p>From baseball to tag to cards, every game has rules to follow. Learn how to be a good sport by playing by the rules. Pairs with the fiction title Not Yet!</p> <p>Explore these and other ways to be a good sport with these fun books!</p>"",""tags"":[""Children's audiobooks""]}",{},0,0,,[],,"[{""app_link"":""https://play.google.com/store/audiobooks/details/Katie_Peters_Winning_Well?id=AQAAAEACs3DzYM"",""app_name"":""Winning Well""},{""app_link"":""https://play.google.com/store/audiobooks/details/Katie_Peters_Being_a_Good_Teammate?id=AQAAAEAC81CzQM"",""app_name"":""Being a Good Teammate""},{""app_link"":""https://play.google.com/store/audiobooks/details/Katie_Peters_Leading_Others?id=AQAAAEA8ZyUnCM"",""app_name"":""Leading Others""},{""app_link"":""https://play.google.com/store/audiobooks/details/Katie_Peters_Trying_My_Best?id=AQAAAEACe3I7YM"",""app_name"":""Trying My Best""},{""app_link"":""https://play.google.com/store/audiobooks/details/Katie_Peters_Losing_Well?id=AQAAAEACt2n3eM"",""app_name"":""Losing Well""},{""app_link"":""https://play.google.com/store/audiobooks/details/Katie_Peters_I_Am_Positive?id=AQAAAEB84VOhPM"",""app_name"":""I Am Positive""}]",,,,,"US",,,,,,,
